Habitaciones,Baños,Estrato,Área_construida,Código inmueble,Barrio común,Precio,Antigüedad,Área construida,Área privada,Valor administración,Parqueaderos,estado
5,3,3,147,10159-M4057352,Gaitan,330000000,Más de 20 años,147,143,,,venta_casa
4,4,3,466,3072-M3395906,centro historico,1200000000,Más de 20 años,466,466,,3.0,venta_casa
3,3,4,240,3072-M4697534,Lombardia,750000000,Entre 0 y 5 años,240,240,230000.0,2.0,venta_casa
3,2,4,101,MC4869792,SECTOR MALDONADO   GLORIETA NORTE,320000000,Entre 5 y 10 años,101,101,268000.0,1.0,venta_apartamento
5,5,3,720,11295-M3608718,Mirador del Lago,750000000,Entre 5 y 10 años,720,720,220000.0,1.0,venta_casa
1,1,3,27,11295-M4770230,PARQUE PINZON TUNJA,120000000,Entre 5 y 10 años,27,27,120000000.0,,venta_apartamento
2,3,4,75,16742-M4946289,Vivente,320000000,Entre 5 y 10 años,7526,7526,287000.0,1.0,venta_apartamento
2,1,3,50,MC4806263,Jorge Eliecer Gaitan,185000000,Entre 0 y 5 años,50,50,,1.0,venta_apartamento
3,2,3,62,10278-M4693487,La Florida,202900000,Entre 0 y 5 años,6232,5556,,1.0,venta_apartamento
5,4,3,220,10159-M4693097,La Florida,315000000,Entre 5 y 10 años,220,210,,,venta_casa
4,3,4,202,11295-M4264695,CC BULEVAR TUNJA,475000000,Entre 10 y 20 años,202,202,,2.0,venta_casa
3,2,3,65,MC2456423,San Laureano,172000000,Entre 0 y 5 años,65,6061,49000.0,,venta_apartamento
4,3,3,120,11295-M4137361,LOS HONGOS,200000000,Entre 10 y 20 años,120,120,,1.0,venta_casa
3,3,5,80,16742-M4806536,Edificio quinta santana,320000000,Entre 10 y 20 años,80,80,,1.0,venta_apartamento
3,3,3,125,MC4513166,Santa Ana,449000000,Entre 0 y 5 años,125,120,,1.0,venta_casa
3,2,3,74,10159-M4261924,Tunja,180000000,Entre 5 y 10 años,7403,7403,98000.0,1.0,venta_casa
3,2,4,68,10159-M3894838,Las Nieves,255000000,Entre 5 y 10 años,68,65,53000.0,1.0,venta_apartamento
4,4,5,240,3072-M4754791,LOMBARDIA,800000000,Entre 0 y 5 años,240,240,200000.0,1.0,venta_casa
2,2,3,354,11295-M3608990,San Francisco,530427129,Entre 5 y 10 años,35407,35707,,,venta_casa
3,2,4,80,MC2340266,Unicentro,250000000,Entre 0 y 5 años,80,80,190000.0,1.0,venta_apartamento
1,1,5,32,MC4901383,Las Quintas,140000000,Entre 0 y 5 años,32,299,50000.0,,venta_apartamento
4,4,5,137,11295-M3559600,In Altezza,531000000,Entre 5 y 10 años,1375,1375,338000.0,1.0,venta_apartamento
5,3,2,87,10159-M4261828,Nazareth,500000000,Más de 20 años,87,427,,,venta_casa
3,3,4,89,10159-M4892573,Fuente Higueras,280000000,Entre 10 y 20 años,895,895,130000.0,1.0,
5,5,4,370,MC4137935,urapanes,1100000000,Entre 10 y 20 años,370,370,,2.0,venta_casa
4,3,5,101,MC4355277,mesopotamia,320000000,Entre 10 y 20 años,101,101,377000.0,1.0,venta_apartamento
2,2,5,52,MC4538304,Alameda de Unicentro,280000000,Entre 0 y 5 años,52,50,185000.0,1.0,venta_apartamento
3,2,5,75,11295-M4893877,SECTOR MESOPOTAMIA TUNJA,250000000,Entre 10 y 20 años,75,75,150000.0,1.0,venta_apartamento
5,5,5,137,11295-M3556844,In Altezza,531000000,Entre 5 y 10 años,13754,13754,358000.0,1.0,venta_apartamento
2,1,3,42,MC4962781,UPTC MEDICINA   CENTRO,178000000,Entre 0 y 5 años,42,42,,,venta_apartamento
3,1,2,83,MC4941029,Villa del Rosario,95000000,Entre 0 y 5 años,83,73,,1.0,venta_apartamento
5,4,5,210,MC4977324,El Lago,800000000,Entre 0 y 5 años,210,697,291000.0,2.0,venta_casa
3,4,5,200,MC4951498,Santa Ines Reservado,870000000,Entre 0 y 5 años,2007,1918,892000.0,2.0,venta_apartamento
4,3,4,156,MC4900716,Las Quintas,430000000,Entre 10 y 20 años,156,156,,1.0,venta_casa
5,5,4,435,11295-M3308508,,750000000,Entre 5 y 10 años,435,720,220000.0,1.0,venta_casa
2,2,4,150,11295-M3972852,Los Muiscas,280000000,Entre 5 y 10 años,150,150,,1.0,venta_casa
1,1,4,55,11295-M3470246,NORTE,160000000,Entre 5 y 10 años,55,55,,,venta_casa
3,2,2,72,10159-M4892532,Santa Lucia,280000000,Entre 0 y 5 años,727,68,60000.0,,venta_apartamento
1,1,3,30,MC4925707,San Laureano ,95000000,Entre 10 y 20 años,30,30,,,venta_apartamento
3,2,3,62,10278-M4675763,La Florida,201900000,Entre 0 y 5 años,6232,5556,,1.0,venta_apartamento
5,5,3,763,MC4723427,Plaza de Bolivar Centro Historico,2650000000,Más de 20 años,763,763,,,venta_casa
2,2,3,68,11295-M4893760,Sector Paraíso Tunja,160000000,Remodelado,68,68,20000.0,,venta_apartamento
2,1,5,51,16742-M4943605,GRAN RESERVA,240000000,Entre 10 y 20 años,5187,5187,200000.0,1.0,venta_apartamento
2,2,3,49,11295-M4851186,Sector las americas Tunja,160000000,Entre 10 y 20 años,49,49,160000000.0,,venta_apartamento
1,2,4,49,11295-M3607311,norte,1600000000,Entre 5 y 10 años,49,49,,,venta_casa
2,2,5,79,MC4343566,Mirador del Country,309665000,Entre 0 y 5 años,79,79,192000.0,1.0,venta_apartamento
3,2,5,102,MC4492980,MIRADOR DEL COUNTRY,400000000,Entre 0 y 5 años,102,102,,2.0,venta_apartamento
2,1,3,56,MC4765267,Universidad de Boyaca ,175000000,Más de 20 años,56,52,139000.0,1.0,venta_apartamento
5,3,3,240,MC4946662,las nieves,600000000,Entre 10 y 20 años,240,300,,1.0,venta_casa
5,4,3,240,MC4962547,URBANIZACION MANATIAL DEL NORTE,600000000,Entre 0 y 5 años,240,240,10.0,2.0,venta_casa
3,1,1,53,MC4947669,Antonia santos,130000000,Entre 5 y 10 años,53,53,25000.0,,venta_apartamento
3,3,5,138,MC4954891,Arboleda,570000000,Entre 5 y 10 años,1382,154,358000.0,2.0,venta_casa
4,3,4,130,MC4986469,San Ignacio ,380000000,Entre 10 y 20 años,130,127,320000.0,1.0,venta_apartamento
3,2,3,56,MC4990176,Arboreto ,165000000,Entre 5 y 10 años,56,535,95000.0,,venta_apartamento
1,1,3,29,MC4963341,Gaitan,125000000,Entre 10 y 20 años,29,33,30000.0,,venta_apartamento
3,3,3,99,MC4953938,patriotas,230000000,Remodelado,9968,675,,1.0,venta_casa
