path,tipo,estado,ubicacion,url,habitacion,baño,dimension,precio,estrato,latitud,longitud
f55-91ba-f6c474d5-22cdf2f109f8-43de,Apartamento,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,f55-91ba-f6c474d5-22cdf2f109f8-43de,4.0,3.0,126.67,140000000.0,3.0,5.5160457,-73.3683401
3e1f-b6a5-f3635322-b2e103a75ad4-3daa,Apartamento,venta,Maldonado/Centro Histórico/Tunja/Boyacá,3e1f-b6a5-f3635322-b2e103a75ad4-3daa,2.0,2.0,63.0,250000000.0,4.0,5.540236,-73.356867
3319-b73e-ec63cb31-b7455280d4d7-39d9,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,3319-b73e-ec63cb31-b7455280d4d7-39d9,4.0,3.0,173.0,350000000.0,,5.518,-73.361
568-aa8d-9eefe984-1c1340ca9f1-3199,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,568-aa8d-9eefe984-1c1340ca9f1-3199,6.0,4.0,354.0,1900000000.0,,5.533,-73.363
dabb-9666-2fa2d8c1-4c876326ff32-39ff,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,dabb-9666-2fa2d8c1-4c876326ff32-39ff,7.0,5.0,864.0,2300000000.0,,5.533,-73.363
554-be43-18f4c25-b96b2546332e-723d,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,554-be43-18f4c25-b96b2546332e-723d,7.0,6.0,300.0,1850000000.0,6.0,5.527421,-73.361366
b166-afbd-6c26b615-2ecfe7c335fa-3d67,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,b166-afbd-6c26b615-2ecfe7c335fa-3d67,1.0,1.0,550.0,1700000000.0,,5.533,-73.363
576-af28-680d7874-65289a485265-437b,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,576-af28-680d7874-65289a485265-437b,6.0,6.0,300.0,1977983412.0,3.0,5.5357381,-73.3605539
a3dc-80a3-ee305f3f-446d32bb8660-34b0,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,a3dc-80a3-ee305f3f-446d32bb8660-34b0,3.0,4.0,250.0,1100000000.0,,5.534,-73.362
ca11-bdf5-70169daf-c5430513f38e-37e2,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,ca11-bdf5-70169daf-c5430513f38e-37e2,4.0,4.0,250.0,680000000.0,,5.534,-73.362
1555-9e0d-18f0f45-d1eb086bca89-7caa,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,1555-9e0d-18f0f45-d1eb086bca89-7caa,5.0,3.0,172.0,330000000.0,,5.517,-73.37
3f23-8611-50b9a74b-88edd809fd2f-312a,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,3f23-8611-50b9a74b-88edd809fd2f-312a,6.0,6.0,438.5,2200000000.0,,5.534,-73.362
be83-9dfb-343693d2-bb81d637038f-40d2,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,be83-9dfb-343693d2-bb81d637038f-40d2,5.0,3.0,,290000000.0,3.0,5.5168179,-73.3689698
6452-8936-fc1fb37d-34022c9da222-352c,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,6452-8936-fc1fb37d-34022c9da222-352c,4.0,3.0,130.5,480000000.0,,5.534,-73.362
d950-908a-b6b6fb2c-a104aa5b8f07-3e8c,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,d950-908a-b6b6fb2c-a104aa5b8f07-3e8c,4.0,4.0,258.41,895132240.0,,5.527,-73.366
80d2-9b56-26dc8c20-334f949c2feb-507d,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,80d2-9b56-26dc8c20-334f949c2feb-507d,4.0,2.0,,250000000.0,3.0,5.5270431,-73.36067872
7fa2-bc0a-355eb801-e54d955a504c-3f23,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,7fa2-bc0a-355eb801-e54d955a504c-3f23,6.0,6.0,438.5,2200000000.0,,5.534,-73.362
d1e8-a343-dc0f1678-5c6129e3b960-4b99,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,d1e8-a343-dc0f1678-5c6129e3b960-4b99,3.0,2.0,354.07,530427129.0,3.0,5.5082056,-73.369396
64eb-8b5d-4987a7fe-e821aa0310d6-396f,Casa,venta,Maldonado/Centro Histórico/Tunja/Boyacá,64eb-8b5d-4987a7fe-e821aa0310d6-396f,5.0,4.0,142.0,360000000.0,,5.539,-73.359
